RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,FRONT,POPCORN /12-0825 TCX,,
,,,,,,,,,,,,,,
RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,BACK,POPCORN /12-0825 TCX,,
,,,,,,,,,,,,,,
RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,SLEEVE,POPCORN /12-0825 TCX,,
,,,,,,,,,,,,,,
RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,NECK TAPE,POPCORN /12-0825 TCX,,
,,,,,,,,,,,,,,
RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,2X2 LYCRA DURBY RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,255 - 265,PIECES,NECK RIB,POPCORN /12-0825 TCX,,
,,,,,,,,,,,,,,
RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,FRONT,SIMPLY GREEN,,
,,,,,,,,,,,,,,
RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,BACK,SIMPLY GREEN,,
,,,,,,,,,,,,,,
RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,SLEEVE,SIMPLY GREEN,,
,,,,,,,,,,,,,,
RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,NECK TAPE,SIMPLY GREEN,,
,,,,,,,,,,,,,,
RE/2324/0096,TAO,TBC,19-02-2024,TS MC CRUSTACES,2X2 LYCRA DURBY RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,255 - 265,PIECES,NECK RIB,SIMPLY GREEN,,
,,,,,,,,,,,,,,
RE/2324/0097,TAO,TBC,26-01-2024,TS MC CBOUEE,SLUB JERSEY,100% ORGANIC COTTON SLUB,Main Fabric,Solid,155 - 165,PIECES,FRONT,SNOW WHITE,,
,,,,,,,,,,,,,,
RE/2324/0097,TAO,TBC,26-01-2024,TS MC CBOUEE,SLUB JERSEY,100% ORGANIC COTTON SLUB,Main Fabric,Solid,155 - 165,PIECES,BACK BODY AND SLEEVE,SNOW WHITE,,
,,,,,,,,,,,,,,
RE/2324/0097,TAO,TBC,26-01-2024,TS MC CBOUEE,SLUB JERSEY,100% ORGANIC COTTON SLUB,Main Fabric,Solid,155 - 165,PIECES,NECK TAPE,SNOW WHITE,,
,,,,,,,,,,,,,,
RE/2324/0098,TAO,TBC,26-01-2024,TS MC CBULOT,SLUB JERSEY,100% ORGANIC COTTON SLUB,Main Fabric,Solid,155 - 165,PIECES,FRONT,PRISM PINK / 14-2311 TCX,,
,,,,,,,,,,,,,,
RE/2324/0098,TAO,TBC,26-01-2024,TS MC CBULOT,SLUB JERSEY,100% ORGANIC COTTON SLUB,Main Fabric,Solid,155 - 165,PIECES,BACK BODY AND SLEEVE,PRISM PINK / 14-2311 TCX,,
,,,,,,,,,,,,,,
RE/2324/0098,TAO,TBC,26-01-2024,TS MC CBULOT,SLUB JERSEY,100% ORGANIC COTTON SLUB,Main Fabric,Solid,155 - 165,PIECES,NECK TAPE,PRISM PINK / 14-2311 TCX,,
,,,,,,,,,,,,,,
RE/2324/0104,TAO,TBC,13-01-2024,TS MC CROUGET,1X1 LYCRA RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,235 - 245,PIECES,NECK RIB,WHISPER WHITE,,
,,,,,,,,,,,,,,
